timestamp,price,number
26750.83,277.0,2
26751.667,283.8,15
26755.604,287.0,3
26758.053,287.0,2
26758.735,288.0,3
26759.603,286.0,5
26764.191,285.0,5
26766.671,285.0,1
26768.283,285.0,4
26768.345,285.0,5
26768.996,288.0,3
26770.67,286.0,3
26776.777,287.0,4
26778.296,290.0,1
26779.536,290.0,1
26779.97,291.0,1
26782.171,290.0,1
26782.233,285.0,2
26786.139,290.7,5
26786.356,287.0,1
26789.859,290.0,3
26790.882,291.0,5
26793.579,291.0,2
26793.61,291.0,1
26796.958,287.0,1
26799.035,285.0,2
26800.864,285.0,1
26801.453,283.0,1
26803.623,285.0,4
26806.01,283.5,3
26806.227,283.0,1
26807.064,287.0,1
26807.188,287.0,3
26807.622,286.0,2
26807.808,286.0,3
26815.496,288.0,5
26817.697,293.0,2
26819.557,289.0,2
26821.355,290.0,4
26826.315,290.5,3
26827.834,291.0,5
26830.624,289.7,4
26832.236,287.0,1
26833.321,290.0,10
26835.398,293.0,1
26835.832,286.0,3
26837.847,288.0,4
26840.358,285.0,4
26841.536,285.0,1
26842.032,283.0,3
26844.202,293.0,1
26844.822,283.0,2
26844.977,283.0,4
26849.317,285.0,4
26850.898,283.0,4
26853.719,284.5,3
26854.215,284.0,1
26854.525,282.0,4
26854.649,282.0,1
26855.765,280.0,3
26856.013,280.0,1
26857.78,279.0,1
26858.338,276.0,1
26860.942,274.0,1
26863.329,276.0,2
26863.391,281.0,10
26864.538,284.0,2
26865.158,284.0,1
26865.84,285.0,1
26865.964,284.0,1
26868.382,282.0,2
26870.056,276.7,4
26871.017,283.0,1
26873.125,280.0,2
26877.279,274.5,3
26878.271,278.0,8
26878.984,282.0,2
26881.247,279.0,1
26882.859,279.0,1
26883.014,281.0,1
26884.13,277.0,3
26885.649,276.0,2
26886.145,280.5,4
26886.827,276.0,1
26887.23,276.0,3
26888.129,275.0,3
26891.26,282.0,3
26891.291,281.0,2
26891.942,280.0,2
26892.748,282.0,1
26896.406,285.0,4
26898.173,289.0,5
26904.683,289.5,2
26905.303,288.0,4
26905.458,287.0,1
26908.217,292.0,1
26908.589,285.0,2
26910.48,286.0,2
26912.247,284.0,5
26912.681,284.0,1
26912.867,284.0,1
26914.262,283.0,5
26914.479,283.0,1
26914.634,282.0,1
26917.951,286.0,3
26918.633,286.5,4
26918.881,282.0,3
26919.718,282.0,1
26922.322,286.0,1
26922.539,284.0,5
26924.275,281.5,4
26925.36,280.0,1
26927.313,289.0,3
26927.592,290.0,3
26929.886,290.0,1
26932.831,290.0,3
26936.892,292.0,2
26939.837,292.0,1
26941.449,291.0,1
26941.542,291.0,1
26943.65,291.0,4
26943.991,289.2,5
26944.828,289.5,3
26948.238,285.0,5
26948.703,284.0,1
26950.16,283.0,3
26951.214,282.0,1
26952.671,278.0,1
26953.198,279.0,1
26954.066,278.0,3
26954.531,279.0,1
26957.817,278.0,2
26959.336,278.0,3
26959.429,277.0,1
26960.452,280.0,1
26961.692,283.0,4
26963.583,286.0,3
26965.226,284.0,1
26965.97,284.5,3
26966.931,287.0,2
26968.791,286.0,4
26969.194,286.0,1
26969.783,286.0,5
26970.434,286.0,1
26971.116,287.0,2
26971.674,286.5,4
26975.363,283.0,4
26975.828,273.0,1
26977.068,281.0,4
26977.75,281.5,3
26979.021,281.0,5
26982.927,280.0,5
26983.516,284.0,3
26985.81,280.0,2
26988.135,276.0,3
26989.778,277.0,3
26991.545,273.0,3
26992.196,279.7,3
26993.684,282.5,5
26995.42,287.5,4
26998.241,280.0,3
26998.923,282.0,5
27000.411,289.0,2
27001.775,288.0,5
27002.147,288.0,5
27002.302,288.0,5
27004.069,284.0,3
27004.255,284.0,2
27004.41,283.0,3
27005.247,283.0,5
27005.712,283.0,1
27007.882,280.0,5
27008.564,281.0,4
27013.338,288.0,1
27014.516,288.0,1
27016.748,290.0,3
27017.988,290.0,3
27020.22,287.0,5
27020.282,287.0,4
27020.406,288.0,3
27025.118,292.0,4
27026.916,291.0,1
27027.226,289.0,5
27028.435,286.0,3
27031.039,285.0,2
27031.752,285.0,3
27033.395,283.0,5
27033.798,283.0,2
27034.728,283.5,5
27038.169,287.5,5
27041.579,289.0,1
27041.672,290.0,1
27041.951,287.0,2
27042.075,287.0,1
27042.106,287.0,5
27042.447,287.0,2
27042.571,287.0,4
27045.826,287.0,2
27047.004,287.0,1
27047.283,284.0,3
27051.034,286.0,1
27053.204,287.0,2
27053.669,287.0,2
27055.405,291.0,1
27060.365,293.0,1
27061.698,293.0,5
27064.302,292.0,1
27064.457,291.0,4
27064.984,291.0,5
27066.906,290.0,2
27067.123,290.0,2
27067.588,291.0,3
27071.029,291.0,1
27075.741,288.0,2
27077.229,289.0,2
27078.004,287.0,5
27081.724,285.0,3
27085.599,288.0,4
27090.28,292.5,4
27092.667,287.0,5
27093.225,287.0,1
27094.527,286.0,3
27096.17,283.0,5
27096.945,283.0,5
27097.348,283.0,1
27098.433,283.0,4
27099.239,280.0,1
27101.874,285.0,1
27102.773,286.0,4
27103.052,285.0,1
27103.238,283.0,5
27106.524,291.5,2
27107.206,293.0,1
