,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
630,1.07,0.95,45.66,0.1,0.04,0.01,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
631,1.07,0.95,45.66,0.1,0.04,0.02,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
632,1.07,0.95,45.66,0.1,0.04,0.03,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
633,1.07,0.95,45.66,0.1,0.05,0.01,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
634,1.07,0.95,45.66,0.1,0.05,0.02,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
635,1.07,0.95,45.66,0.1,0.05,0.03,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
636,1.07,0.95,45.66,0.1,0.06,0.01,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
637,1.07,0.95,45.66,0.1,0.06,0.02,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
638,1.07,0.95,45.66,0.1,0.06,0.03,51426.4145,63727,0.679820037,0.451035012,-1.242565371,0.005567994
279,1.05,0.97,42.82,0.1,0.04,0.01,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
280,1.05,0.97,42.82,0.1,0.04,0.02,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
281,1.05,0.97,42.82,0.1,0.04,0.03,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
282,1.05,0.97,42.82,0.1,0.05,0.01,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
283,1.05,0.97,42.82,0.1,0.05,0.02,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
284,1.05,0.97,42.82,0.1,0.05,0.03,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
285,1.05,0.97,42.82,0.1,0.06,0.01,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
286,1.05,0.97,42.82,0.1,0.06,0.02,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
287,1.05,0.97,42.82,0.1,0.06,0.03,51422.85262,63727,0.661042675,0.44894686,-0.926928402,0.007463671
522,1.07,0.97,42.82,0.1,0.04,0.01,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
523,1.07,0.97,42.82,0.1,0.04,0.02,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
524,1.07,0.97,42.82,0.1,0.04,0.03,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
525,1.07,0.97,42.82,0.1,0.05,0.01,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
526,1.07,0.97,42.82,0.1,0.05,0.02,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
527,1.07,0.97,42.82,0.1,0.05,0.03,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
528,1.07,0.97,42.82,0.1,0.06,0.01,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
529,1.07,0.97,42.82,0.1,0.06,0.02,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
530,1.07,0.97,42.82,0.1,0.06,0.03,51420.83827,63727,0.64020783,0.444581959,-1.125262225,0.006148002
369,1.05,0.95,42.82,0.12,0.04,0.01,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
370,1.05,0.95,42.82,0.12,0.04,0.02,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
371,1.05,0.95,42.82,0.12,0.04,0.03,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
372,1.05,0.95,42.82,0.12,0.05,0.01,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
373,1.05,0.95,42.82,0.12,0.05,0.02,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
374,1.05,0.95,42.82,0.12,0.05,0.03,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
375,1.05,0.95,42.82,0.12,0.06,0.01,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
376,1.05,0.95,42.82,0.12,0.06,0.02,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
377,1.05,0.95,42.82,0.12,0.06,0.03,51414.74838,63727,0.702349148,0.454450559,-0.926928402,0.007462915
252,1.05,0.97,39.882,0.1,0.04,0.01,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
253,1.05,0.97,39.882,0.1,0.04,0.02,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
254,1.05,0.97,39.882,0.1,0.04,0.03,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
255,1.05,0.97,39.882,0.1,0.05,0.01,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
256,1.05,0.97,39.882,0.1,0.05,0.02,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
257,1.05,0.97,39.882,0.1,0.05,0.03,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
258,1.05,0.97,39.882,0.1,0.06,0.01,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
259,1.05,0.97,39.882,0.1,0.06,0.02,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
260,1.05,0.97,39.882,0.1,0.06,0.03,51409.82386,63727,0.667374005,0.449883115,-0.926928402,0.007462455
261,1.05,0.97,39.882,0.12,0.04,0.01,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
262,1.05,0.97,39.882,0.12,0.04,0.02,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
263,1.05,0.97,39.882,0.12,0.04,0.03,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
264,1.05,0.97,39.882,0.12,0.05,0.01,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
265,1.05,0.97,39.882,0.12,0.05,0.02,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
266,1.05,0.97,39.882,0.12,0.05,0.03,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
267,1.05,0.97,39.882,0.12,0.06,0.01,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
268,1.05,0.97,39.882,0.12,0.06,0.02,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
269,1.05,0.97,39.882,0.12,0.06,0.03,51409.35068,63727,0.664576605,0.449809268,-0.926928402,0.007462411
63,1.03,0.97,45.66,0.1,0.04,0.01,50650.35193,63727,0.685749441,0.452343548,-0.999984617,0.00685582
64,1.03,0.97,45.66,0.1,0.04,0.02,50650.35193,63727,0.685749441,0.452343548,-0.999984617,0.00685582
65,1.03,0.97,45.66,0.1,0.04,0.03,50650.35193,63727,0.685749441,0.452343548,-0.999984617,0.00685582
66,1.03,0.97,45.66,0.1,0.05,0.01,50650.35193,63727,0.685749441,0.452343548,-0.999984617,0.00685582
67,1.03,0.97,45.66,0.1,0.05,0.02,50650.35193,63727,0.685749441,0.452343548,-0.999984617,0.00685582
