,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6393,140.1695332766912,128.09,60.839127573473306,38.65,128.09,Buy,Hold
6394,141.4670399060595,129.93,57.574743252245845,40.91,129.93,Hold,Hold
6395,123.49191384818451,129.77,53.858266144449466,41.02,129.77,Hold,Hold
6396,135.39421729943186,138.15,55.05978804502219,59.2,138.15,Sell,Hold
6397,138.21896163636623,141.84,57.152968542277414,63.24,141.84,Hold,Hold
6398,137.17037932317334,131.45,55.040825516183986,39.84,131.45,Buy,Hold
6399,128.27666825984477,119.45,41.8259184294465,19.6,119.45,Hold,Hold
6400,127.43240783153291,122.88,39.5942976444007,28.34,122.88,Hold,Hold
6401,128.599417468455,141.61,48.7687168725131,63.37,141.61,Sell,Hold
6402,138.27972649205557,149.27,56.01365132187415,80.83,149.27,Hold,Hold
6403,136.22156612369776,141.72,52.94877666175417,61.91,141.72,Hold,Hold
6404,136.357541225262,134.11,53.82224487321446,49.72,134.11,Buy,Hold
6405,135.00944957370817,128.53,50.88818240077866,39.24,128.53,Hold,Hold
6406,135.24293934826295,127.84,51.72908846805352,38.08,127.84,Hold,Hold
6407,134.5876726477063,152.9,56.87077147923427,86.71,152.9,Sell,Hold
6408,132.7339439027093,134.44,49.6978033099374,51.24,134.44,Hold,Hold
6409,135.63879628438298,137.34,53.79930391918801,53.2,137.34,Hold,Hold
6410,136.11572777238248,145.3,51.947744152252575,71.8,145.3,Hold,Hold
6411,135.6846751536722,112.86,46.91159663873982,3.66,112.86,Buy,Hold
6412,137.1332661456953,114.19,46.91855675637694,12.98,114.19,Hold,Hold
6413,137.48095865893654,138.62,49.86843255444849,60.46,138.62,Hold,Hold
6414,136.56414216830612,136.01,48.18248722480231,55.38,136.01,Hold,Hold
6415,116.75149445584698,113.93,43.41340382719992,10.77,113.93,Hold,Hold
6416,135.0864757042951,151.04,53.555561385076246,93.04,151.04,Sell,Hold
6417,131.75888809565245,144.42,46.92121042845752,70.35,144.42,Hold,Hold
6418,135.19032367527498,138.36,52.01635404876667,58.25,138.36,Hold,Hold
6419,134.39325732934657,141.57,51.470706669319554,67.04,141.57,Hold,Hold
6420,136.2363815750379,131.49,54.35443693117677,43.46,131.49,Buy,Hold
6421,135.0887280940708,133.83,52.21315331504577,45.33,133.83,Hold,Hold
6422,135.103529620924,146.48,53.28297131693002,74.38,146.48,Sell,Hold
6423,134.52620487902783,140.58,51.9398676290258,62.9,140.58,Hold,Hold
6424,135.39754894499964,135.5,52.90293684913373,53.05,135.5,Buy,Hold
6425,138.38788626935454,151.94,55.95721565798109,90.25,151.94,Sell,Hold
6426,137.73091700534093,139.89,56.17123684196601,58.76,139.89,Hold,Hold
6427,140.60498116855928,134.67,56.819513255899224,48.48,134.67,Buy,Hold
6428,141.12383776950483,141.44,58.77169431271725,66.51,141.44,Sell,Hold
6429,137.50857774650208,126.63,53.46255577307987,33.16,126.63,Buy,Hold
6430,136.16393414420068,138.81,57.426407351433475,59.1,138.81,Hold,Hold
6431,136.36168803329375,142.73,55.84747324500008,67.38,142.73,Sell,Hold
6432,138.40940933199514,136.0,58.781447990604406,54.37,136.0,Hold,Hold
6433,139.88401427696323,136.19,58.27233436818118,56.36,136.19,Hold,Hold
6434,139.56540126765995,133.53,57.95445428066682,49.28,133.53,Buy,Hold
6435,135.93604290600877,134.03,56.254932924455126,48.82,134.03,Hold,Hold
6436,136.0609845372966,134.26,57.39451589144934,49.88,134.26,Hold,Hold
6437,137.06651091144838,139.27,58.13865649719471,65.58,139.27,Hold,Hold
6438,137.98209336397974,142.99,58.358774387712444,68.69,142.99,Hold,Hold
6439,134.83082458962085,124.84,54.683706982780265,32.07,124.84,Hold,Hold
6440,136.5772466316963,148.33,55.96810782070988,81.71,148.33,Hold,Hold
6441,142.93339512185509,162.04,61.269593972310204,105.79,162.04,Sell,Hold
6442,151.33950956849418,144.38,61.51370998348375,67.01,144.38,Hold,Hold
6443,138.89077579509723,137.43,60.00113303515326,58.23,137.43,Buy,Hold
